Gaji	Lokasi	Tipe
54	East	Type_1
61	East	Type_1
59	East	Type_1
56	East	Type_1
70	East	Type_1
62	East	Type_1
63	East	Type_1
57	East	Type_1
68	East	Type_1
48	East	Type_2
50	East	Type_2
49	East	Type_2
60	East	Type_2
54	East	Type_2
52	East	Type_2
49	East	Type_2
55	East	Type_2
53	East	Type_2
71	East	Type_3
76	East	Type_3
65	East	Type_3
70	East	Type_3
68	East	Type_3
62	East	Type_3
73	East	Type_3
60	East	Type_3
79	East	Type_3
52	Central	Type_1
50	Central	Type_1
58	Central	Type_1
59	Central	Type_1
62	Central	Type_1
57	Central	Type_1
58	Central	Type_1
64	Central	Type_1
61	Central	Type_1
44	Central	Type_2
49	Central	Type_2
54	Central	Type_2
53	Central	Type_2
51	Central	Type_2
60	Central	Type_2
55	Central	Type_2
47	Central	Type_2
50	Central	Type_2
61	Central	Type_3
64	Central	Type_3
69	Central	Type_3
58	Central	Type_3
57	Central	Type_3
63	Central	Type_3
65	Central	Type_3
63	Central	Type_3
50	Central	Type_3
63	West	Type_1
67	West	Type_1
68	West	Type_1
72	West	Type_1
68	West	Type_1
75	West	Type_1
62	West	Type_1
65	West	Type_1
70	West	Type_1
65	West	Type_2
58	West	Type_2
62	West	Type_2
70	West	Type_2
57	West	Type_2
61	West	Type_2
68	West	Type_2
65	West	Type_2
73	West	Type_2
82	West	Type_3
75	West	Type_3
79	West	Type_3
77	West	Type_3
80	West	Type_3
69	West	Type_3
84	West	Type_3
83	West	Type_3
76	West	Type_3
