Provinsi,X,Y,2023,2019,2020-2021,2022-2023,Mikro,Kecil,Datang,Berangkat
ACEH,96.91173580460197,4.224068541198241,8943786,15660786,4838292,7949182,758781,374731,299304,319669
BALI,115.1320166182036,-8.369723860596755,20833503,18064134,9402320,17546608.5,1218552,843755,4954504,4721260
BANTEN,106.10941297614437,-6.456412895852505,44399501,41807537,32787953.5,41498571.5,1588666,1282946,18852585,18538674
BENGKULU,102.33629129880347,-3.532763096844658,2957142,4098593,1645525,2535395.5,278996,95357,302108,311143
DI YOGYAKARTA,NA,NA,30437069,20407076,21212741,28090329.5,585901,633604,2032930,2008203
DKI JAKARTA,NA,NA,63622596,64617819,34274334,59815318.5,1885759,3015194,1851212,1808394
GORONTALO,122.37615889695866,0.6868824293465826,1905921,1346611,1018444,1692367,140748,71163,155515,155781
JAMBI,102.72391589179071,-1.69947323350584,4783187,7219722,2865864.5,4282085,304462,64016,500730,514140
JAWA BARAT,107.60274317906628,-6.920219755012899,156224371,151596961,93098422.5,139878057,8961504,9816832,436446,396773
JAWA TENGAH,110.20091143727775,-7.259843971473477,115570236,87420826,140053282,112957975.5,4793312,5860614,1612931,1627742
JAWA TIMUR,112.73307441064661,-7.720599945216817,207104573,85483205,143089793,203826355,6210774,4229361,6213566,5522780
KALIMANTAN BARAT,111.12102433296405,-0.08648605407770818,4711038,8902463,2133000,3995450.5,406139,149680,1288429,1282163
KALIMANTAN SELATAN,115.43968062336218,-2.9930930365383754,7869846,9509667,4208060.5,6590291.5,321869,359204,1469683,1411054
KALIMANTAN TENGAH,113.41803759863653,-1.6022154856873068,4023322,5963737,1939298,3353463,231824,95201,587146,583473
KALIMANTAN TIMUR,116.47034387097924,0.4600508146128313,7903336,10073535,2448846.5,6667526.5,364301,167638,3114834,2633946
KALIMANTAN UTARA,116.21565913194328,2.8885099335691735,588871,1550070,295254,471725.5,56072,27244,341774,339309
KEP. BANGKA BELITUNG,NA,NA,2382969,2429147,1015043,1980688,136382,109931,977662,942400
KEP. RIAU,NA,NA,2295496,4279813,790626.5,1903425,276762,64806,1917028,1844117
LAMPUNG,105.02296603445197,-4.917823394852758,13760697,17022530,8851294,12343200.5,753753,366707,450453,470598
MALUKU,129.83145071094637,-4.72927458021121,1061844,2071851,521406.5,837205.5,59507,22451,478161,436001
MALUKU UTARA,127.54018405777637,0.2104473428309129,1808020,1594047,587708,1659630.5,77294,35113,418745,424829
NUSA TENGGARA BARAT,117.50765006945379,-8.607530688341845,12922404,8579404,3255743,8506831.5,702973,1128654,1047328,1081950
NUSA TENGGARA TIMUR,122.1802017863371,-9.263915584060939,5064324,7272535,2701248.5,4456838.5,181489,40545,1424334,1335166
PAPUA,138.68742138601613,-4.6592060104680195,1588351,2765650,806822.5,1274113.5,179811,114120,1140296,1149880
PAPUA BARAT,132.96741037844367,-2.0373975317477617,762438,1739299,413747.5,616157,81251,51992,1089147,820351
RIAU,101.80830746334567,0.5098229999163357,11147053,18505875,5824495.5,9775644.5,686977,318261,1202651,1209784
SULAWESI BARAT,119.34413745532198,-2.4614490407535285,3510961,2374880,966700.5,3872731,108713,35121,27156,27835
SULAWESI SELATAN,120.16156852017859,-3.730741164576033,25426960,24416073,9721569.5,27013086,947863,436524,5038460,2832918
SULAWESI TENGAH,121.20216175376547,-1.003871449991096,6289067,4875192,1799266.5,6371042,295028,125040,574826,563832
SULAWESI TENGGARA,122.07116832371658,-4.125627862373468,11069947,5575499,2282083.5,11926496.5,257526,109558,628198,626592
SULAWESI UTARA,124.52199205096089,1.2613089097823134,5398846,3144536,3106882,4910350.5,306738,68179,749537,729507
SUMATERA BARAT,100.4667004304578,-0.8515970902029814,14692245,18801652,8748367,13515754,735985,435699,1044639,1058022
SUMATERA SELATAN,104.17037363591581,-3.2173222051983053,10994493,15066778,6328715.5,9743428.5,719831,225364,1400271,1407875
SUMATERA UTARA,99.05359488024467,2.1903836168081168,27613125,47921230,15902275.5,25408790.5,1190467,685738,3096470,2911192
