R,G,B,Rasa,,R,G,B,Rasa,,Label,n,probabilitas,,,,,,,,,,
137,112,73,Manis,,20,39,0,Asam,,Manis,30,0.333333333,,,,,,,,,,
125,103,65,Manis,,57,86,2,Asam,,Asam,30,0.333333333,,,,,,,,,,
135,80,28,Manis,,58,134,4,Asam,,Tawar,30,0.333333333,,,,,,,,,,
153,110,24,Manis,,63,113,21,Tawar,,Total,90,,,,,,,,,,,
123,96,23,Manis,,70,72,5,Asam,,,,,,,,,,,,,,
127,107,40,Manis,,70,107,23,Tawar,,Entropi,1.584962501,,,,,,,,,,,
109,92,72,Manis,,73,132,2,Tawar,,,,,,,,,,,,,,
112,100,44,Manis,,73,120,15,Tawar,,Fitur,Threshold (Median),Split 1 <= Threshold,Manis,Asam,Tawar,Entropi,Split 2 > Threshold,Manis,Asam,Tawar,Entropi,IG
116,106,56,Manis,,74,75,12,Asam,,R,104,50,3,21,26,0.379224484,40,27,9,4,0.360978887,0.84475913
104,90,42,Manis,,75,79,2,Asam,,G,107.5,45,23,17,5,0.414718693,45,7,13,25,0.423313623,0.746930184
122,88,38,Manis,,75,79,2,Asam,,B,21.5,45,2,25,18,0.361091063,45,28,5,12,0.387313628,0.83655781
116,108,56,Manis,,75,100,13,Tawar,,,,,,,,,,,,,,
126,89,39,Manis,,75,112,11,Tawar,,Decision Tree,,,,,,,,,,,,
119,109,34,Manis,,75,82,29,Tawar,,R ? 104?,,,,,,,,,,,,
123,91,38,Manis,,76,71,15,Asam,,Ya ? Tawar,,,,,,,,,,,,
174,162,102,Manis,,78,72,0,Asam,,Tidak ? B ? 21.5?,,,,,,,,,,,,
102,79,22,Manis,,79,112,18,Tawar,,                  Ya ? Manis,,,,,,,,,,,,
125,105,46,Manis,,81,78,7,Asam,,                  Tidak ? Asam,,,,,,,,,,,,
112,89,22,Manis,,81,74,26,Asam,,,,,,,,,,,,,,
120,104,46,Manis,,81,102,42,Tawar,,Data_Uji,,,,,,,,,,,,
130,95,14,Manis,,84,138,13,Tawar,,R,G,B,Rasa Sebenarnya,Rasa dengan Model DT,Benar (1) / Salah (0),,Akurasi,,,,,
107,81,52,Manis,,87,96,0,Asam,,117,105,81,Manis,Asam,0,,26.66666667,,,,,
156,152,96,Manis,,87,128,16,Tawar,,125,115,15,Manis,Manis,1,,,,,,,
107,62,15,Manis,,88,110,20,Asam,,131,74,31,Manis,Asam,0,,,,,,,
104,82,40,Manis,,89,128,52,Tawar,,116,110,63,Manis,Asam,0,,,,,,,
