price,buying,maint,doors,persons,lug_boot,safety,,,,unacc,acc,good,vgood,,,,,,,,,,,,
vhigh,vhigh,2,2,small,low,unacc,,,Total,1210,384,69,65,,,,,,,,,,,,
vhigh,vhigh,2,2,small,med,unacc,,,Grand total,1728,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,med,low,unacc,,,,unacc,acc,good,vgood,,,,,,,,,,,,
vhigh,vhigh,2,2,med,med,unacc,,,total P Prior,0.700231481,0.222222222,0.039930556,0.037615741,,,,,,,,,,,,
vhigh,vhigh,2,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,high,unacc,,,p(price=vhigh|unacc),0.297520661,,p(buying=vhigh|unacc),0.297520661,,p(maint=2|unacc),0.269421488,,p(doors=2|unacc),0.476033058,,p(persons=small|unacc),0.371900826,,p(lug_boot=low|unacc),0.476033058
vhigh,vhigh,2,4,small,low,unacc,,,p(price=high|unacc),0.267768595,,p(buying=high|unacc),0.259504132,,p(maint=3|unacc),0.247933884,,p(doors=4|unacc),0.25785124,,p(persons=med|unacc),0.323966942,,p(lug_boot=med|unacc),0.295041322
vhigh,vhigh,2,4,small,med,unacc,,,p(price=med|unacc),0.221487603,,p(buying=med|unacc),0.221487603,,p(maint=4|unacc),0.241322314,,p(doors=more|unacc),0.266115702,,p(persons=big|unacc),0.304132231,,p(lug_boot=high|unacc),0.22892562
vhigh,vhigh,2,4,small,high,unacc,,,p(price=low|unacc),0.21322314,,p(buying=low|unacc),0.221487603,,p(maint=5more|unacc),0.241322314,,,,,,,,,
vhigh,vhigh,2,4,med,low,unacc,,sum,,1,,,1,,,1,,,1,,,1,,,1
vhigh,vhigh,2,4,med,med,unacc,,,p(price=vhigh|acc),0.1875,,p(buying=vhigh|acc),0.1875,,p(maint=2|acc),0.2109375,,p(doors=2|acc),0,,p(persons=small|acc),0.2734375,,p(lug_boot=low|acc),0
vhigh,vhigh,2,4,med,high,unacc,,,p(price=high|acc),0.28125,,p(buying=high|acc),0.2734375,,p(maint=3|acc),0.2578125,,p(doors=4|acc),0.515625,,p(persons=med|acc),0.3515625,,p(lug_boot=med|acc),0.46875
