Perusahaan_ke	X1	X2	X3	X4
1	1.06	151	54.4	9077
2	0.89	202	57.9	5088
3	1.43	113	53.0	9212
4	1.02	168	56.0	6423
5	1.49	192	51.2	3300
6	1.32	111	60.0	11127
7	1.22	175	67.6	7642
8	1.10	245	57.0	13082
9	1.34	168	60.4	8406
10	1.12	197	53.0	6455
11	0.75	173	51.5	17441
12	1.13	178	62.0	6154
13	1.15	199	53.7	7179
14	1.09	96	49.8	9673
15	0.96	164	62.2	6468
16	1.16	252	56.0	15991
17	0.76	136	61.9	5714
18	1.05	150	56.7	10140
19	1.16	104	54.0	13507
20	1.20	148	59.9	7287
21	1.04	204	61.0	6650
22	1.07	174	54.3	10093
