No,R,G,B,RASA
2,125,103,65,Manis
4,153,110,24,Manis
6,127,107,40,Manis
8,112,100,44,Manis
10,104,90,42,Manis
12,116,108,56,Manis
14,119,109,34,Manis
16,174,162,102,Manis
18,125,105,46,Manis
20,120,104,46,Manis
22,107,81,52,Manis
24,107,62,15,Manis
26,110,86,35,Manis
28,111,88,42,Manis
30,115,102,24,Manis
32,116,118,13,Asam
34,108,154,14,Asam
36,58,134,4,Asam
38,78,72,0,Asam
40,88,110,20,Asam
42,141,144,64,Asam
44,107,114,7,Asam
46,76,71,15,Asam
48,115,123,2,Asam
50,74,75,12,Asam
52,75,79,2,Asam
54,70,72,5,Asam
56,93,87,6,Asam
58,81,74,26,Asam
60,101,95,47,Asam
62,87,128,16,Tawar
64,95,151,28,Tawar
66,75,100,13,Tawar
68,84,138,13,Tawar
70,73,120,15,Tawar
72,92,124,0,Tawar
74,93,116,52,Tawar
76,75,82,29,Tawar
78,99,141,13,Tawar
80,110,154,10,Tawar
82,107,167,13,Tawar
84,104,141,56,Tawar
86,99,141,13,Tawar
88,92,133,5,Tawar
90,115,133,25,Tawar
