userName,score,at,content,sentimen
Elisya Kasni,5,2024-02-15 11:24:56,Bagus,POSITIVE
Rusman Man,2,2024-02-15 11:24:03,Dana mmg keren mantap.,POSITIVE
Qiliw Sadega,1,2024-02-15 11:23:34,Saya ngajuin upgrade dana premium krna ktp saya buram jdi ga bisa verifikasi..trus coba lewat email di suruh nunggu 3 hri .ini udh 3 hri lebih msih gitu² doang saldo sya d dana jdi ga bisa d apa²in.. gmna ini solusi nya,NEGATIVE
Kijutjrv2 Kijut,3,2024-02-15 11:22:46,Kocak mana diskon nya ml malah eror segala kaga ikhlas ngasih diskon nya,NEGATIVE
Fifi Alfiyah,1,2024-02-15 11:21:34,Saldo hilang karena no lama Hilang ganti no saldonya gk ada sama sekali dana tidak bertanggung jawab Buktinya saldo saya gk ada !!! Saldo lama saya 1800.000,NEGATIVE
Kiki57,3,2024-02-15 11:21:13,mayan,POSITIVE
Parhan Parhan,1,2024-02-15 11:19:32,Udah gua hapus dana ya. ilang ya udah 1 juta lebih duwit gua.mf dana sayah buka orang kaya itu uang keringat sayah uang halal,NEGATIVE
Dewi Anggreni,5,2024-02-15 11:19:22,baik,POSITIVE
Bang Ewok13,1,2024-02-15 11:18:01,"TOLONG UNTUK SISTEM KEAMANAN DI PERBAIKI. KALAU 1 ATAU 2 ORNG YG KE HACK WAJAR, MUNGKIN KETELEDORAN PENGGUNA. TAPI KALAU SUDAH BANYAK YG TERKENA HACK. BERARTI ADA YG SALAH DENGAN SISTEM KEAMANAN DANA",NEUTRAL
M Alifian,5,2024-02-15 11:17:58,mempermudah transfer,POSITIVE
DIDIK QU,5,2024-02-15 11:17:13,baru yobain semoga aman sentosa tidak pembobolan apk sebelah,NEUTRAL
Liaz Tahajudin,4,2024-02-15 11:16:22,kok gx bisa keridit,NEGATIVE
Chinju Nuriya,5,2024-02-15 11:14:17,sangat puas,POSITIVE
Mlihah 343,5,2024-02-15 11:13:15,sangat memuaskan,POSITIVE
Cak Uwit,5,2024-02-15 11:10:04,ookeeee,POSITIVE
KP- Septiana Jerventi,1,2024-02-15 11:09:58,Hati hati dengan aplikasi ini,POSITIVE
Zefanya azarell Mamahit,1,2024-02-15 11:09:26,Mohon maaf ini knpa jadi gk bisa jual emas nya..knpa bacaan nya tejadi kesalahan Mulu coba lagi...berulang ulang lagi itu.udh 1 Minggu saya coba tetep gk bisa...bagai mna ini...sudah jadi semakin jelek ini apk dana skrng gk kyk Tahun. Tahun lalu,NEGATIVE
