idx,Opertaor,Field,Keyword / Phrase
1,,TITLE-ABS,riparian zone restoration
2,OR,AUTHKEY,riparian zone restoration
3,OR,TITLE-ABS,lakes
4,OR,TITLE-ABS,lake
5,AND,TITLE-ABS,ecosystem rehabilitation
6,OR,AUTHKEY,lakes
7,OR,AUTHKEY,lake
8,AND,AUTHKEY,ecosystem rehabilitation
9,OR,TITLE-ABS,rehabilitation of water ecosystem
10,OR,TITLE-ABS,rehabilitation of water ecosystems
11,OR,TITLE-ABS,rehabilitation of the water ecosystem
12,OR,TITLE-ABS,rehabilitation of the water ecosystems
13,OR,TITLE-ABS,rehabilitate water ecosystem
14,OR,TITLE-ABS,rehabilitate water ecosystems
15,OR,TITLE-ABS,rehabilitate the water ecosystem
16,OR,TITLE-ABS,rehabilitate the water ecosystems
17,OR,TITLE-ABS,water ecosystem rehabilitation
18,OR,TITLE-ABS,water ecosystems rehabilitation
19,OR,AUTHKEY,rehabilitation of water ecosystem
20,OR,AUTHKEY,rehabilitation of water ecosystems
21,OR,AUTHKEY,rehabilitation of the water ecosystem
22,OR,AUTHKEY,rehabilitation of the water ecosystems
23,OR,AUTHKEY,rehabilitate water ecosystem
24,OR,AUTHKEY,rehabilitate water ecosystems
25,OR,AUTHKEY,rehabilitate the water ecosystem
26,OR,AUTHKEY,rehabilitate the water ecosystems
27,OR,AUTHKEY,water ecosystem rehabilitation
28,OR,AUTHKEY,water ecosystems rehabilitation
29,OR,TITLE-ABS,preservation of rivers
30,OR,TITLE-ABS,preservation of river
31,OR,TITLE-ABS,preserve rivers
32,OR,TITLE-ABS,preserve river
33,OR,TITLE-ABS,river preservation
34,OR,TITLE-ABS,rivers preservation
35,OR,AUTHKEY,preservation of rivers
36,OR,AUTHKEY,preservation of river
37,OR,AUTHKEY,preserve rivers
38,OR,AUTHKEY,preserve river
39,OR,AUTHKEY,river preservation
40,OR,AUTHKEY,rivers preservation
41,OR,TITLE-ABS,protection of lake
42,OR,TITLE-ABS,protection of lakes
43,OR,TITLE-ABS,protection of the lake
44,OR,TITLE-ABS,protection of the lakes
45,OR,TITLE-ABS,protect lake
46,OR,TITLE-ABS,protect lakes
47,OR,TITLE-ABS,protect the lake
48,OR,TITLE-ABS,protect the lakes
49,OR,TITLE-ABS,lake protection
50,OR,TITLE-ABS,lakes protection
51,OR,AUTHKEY,protection of lake
52,OR,AUTHKEY,protection of lakes
53,OR,AUTHKEY,protection of the lake
54,OR,AUTHKEY,protection of the lakes
55,OR,AUTHKEY,protect lake
56,OR,AUTHKEY,protect lakes
57,OR,AUTHKEY,protect the lake
58,OR,AUTHKEY,protect the lakes
59,OR,AUTHKEY,lake protection
60,OR,AUTHKEY,lakes protection
61,OR,TITLE-ABS,river
62,AND,TITLE-ABS,protect
63,AND,TITLE-ABS,restore
64,OR,AUTHKEY,river
65,AND,AUTHKEY,protect
66,AND,AUTHKEY,restore
67,OR,TITLE-ABS,lake restoration
68,OR,TITLE-ABS,lakes restoration
69,OR,TITLE-ABS, restoration of lake
70,OR,TITLE-ABS,restoration of lakes
71,OR,TITLE-ABS,restoration of the lake
72,OR,TITLE-ABS,restoration of the lakes
73,OR,TITLE-ABS,restore lake
74,OR,TITLE-ABS,restore lakes
75,OR,TITLE-ABS,restore the lake
76,OR,TITLE-ABS,restore the lakes
77,OR,AUTHKEY,lake restoration
78,OR,AUTHKEY,lakes restoration
79,OR,AUTHKEY, restoration of lake
80,OR,AUTHKEY,restoration of lakes
81,OR,AUTHKEY,restoration of the lake
82,OR,AUTHKEY,restoration of the lakes
83,OR,AUTHKEY,restore lake
84,OR,AUTHKEY,restore lakes
85,OR,AUTHKEY,restore the lake
86,OR,AUTHKEY,restore the lakes
87,OR,TITLE-ABS,river
88,AND,TITLE-ABS,rehabilitation
89,OR,AUTHKEY,river
90,AND,AUTHKEY,rehabilitation
91,OR,TITLE-ABS,protection of groundwater
92,OR,TITLE-ABS,protection of groundwaters
93,OR,TITLE-ABS,protect groundwater
94,OR,TITLE-ABS,protect groundwaters
95,OR,TITLE-ABS,groundwater protection
96,OR,TITLE-ABS,groundwaters protection
97,OR,TITLE-ABS,protection of ground-water
98,OR,TITLE-ABS,protection of ground-waters
99,OR,TITLE-ABS,protect ground-water
100,OR,TITLE-ABS,protect ground-waters
101,OR,TITLE-ABS,ground-water protection
102,OR,TITLE-ABS,ground-waters protection
103,OR,TITLE-ABS,protection of groundwater
104,OR,TITLE-ABS,protection of groundwaters
105,OR,TITLE-ABS,protect groundwater
106,OR,TITLE-ABS,protect groundwaters
107,OR,TITLE-ABS,groundwater protection
108,OR,TITLE-ABS,groundwaters protection
109,OR,TITLE-ABS,protection of groundwater
110,OR,TITLE-ABS,protection of groundwaters
111,OR,TITLE-ABS,protect groundwater
112,OR,TITLE-ABS,protect groundwaters
113,OR,TITLE-ABS,groundwater protection
114,OR,TITLE-ABS,groundwaters protection
115,OR,AUTHKEY,protection of groundwater
116,OR,AUTHKEY,protection of groundwaters
117,OR,AUTHKEY,protect groundwater
118,OR,AUTHKEY,protect groundwaters
119,OR,AUTHKEY,groundwater protection
120,OR,AUTHKEY,groundwaters protection
121,OR,AUTHKEY,protection of ground-water
122,OR,AUTHKEY,protection of ground-waters
123,OR,AUTHKEY,protect ground-water
124,OR,AUTHKEY,protect ground-waters
125,OR,AUTHKEY,ground-water protection
126,OR,AUTHKEY,ground-waters protection
127,OR,AUTHKEY,protection of groundwater
128,OR,AUTHKEY,protection of groundwaters
129,OR,AUTHKEY,protect groundwater
130,OR,AUTHKEY,protect groundwaters
131,OR,AUTHKEY,groundwater protection
132,OR,AUTHKEY,groundwaters protection
133,OR,AUTHKEY,protection of groundwater
134,OR,AUTHKEY,protection of groundwaters
135,OR,AUTHKEY,protect groundwater
136,OR,AUTHKEY,protect groundwaters
137,OR,AUTHKEY,groundwater protection
138,OR,AUTHKEY,groundwaters protection
139,OR,TITLE-ABS,stabilization of streams
140,OR,AUTHKEY,stabilization of streams
141,OR,TITLE-ABS,lakes
142,OR,TITLE-ABS,rivers
143,OR,TITLE-ABS,aquifers
144,AND,TITLE-ABS,Resource protection
145,OR,AUTHKEY,lakes
146,OR,AUTHKEY,rivers
147,OR,AUTHKEY,aquifers
148,AND,AUTHKEY,Resource protection
149,OR,TITLE-ABS,water ecosystems
150,AND,TITLE-ABS,protection of
151,OR,AUTHKEY,water ecosystems
152,AND,AUTHKEY,protection of
153,OR,TITLE-ABS,river
154,AND,TITLE-ABS,protection
155,AND,TITLE-ABS,restoration
156,OR,AUTHKEY,river
157,AND,AUTHKEY,protection
158,AND,AUTHKEY,restoration
159,OR,TITLE-ABS,rivers
160,AND,TITLE-ABS,protect
161,AND,TITLE-ABS,restore
162,OR,AUTHKEY,rivers
163,AND,AUTHKEY,protect
164,AND,AUTHKEY,restore
165,OR,TITLE-ABS,rehabilitation of lake
166,OR,TITLE-ABS,rehabilitation of lakes
167,OR,TITLE-ABS,rehabilitation of the lake
168,OR,TITLE-ABS,rehabilitation of the lakes
169,OR,TITLE-ABS,lake rehabilitation
170,OR,TITLE-ABS,lakes rehabilitation
171,OR,TITLE-ABS,rehabilitate lake
172,OR,TITLE-ABS,rehabilitate lakes
173,OR,TITLE-ABS,rehabilitate the lake
174,OR,TITLE-ABS,rehabilitate the lakes
175,OR,AUTHKEY,rehabilitation of lake
176,OR,AUTHKEY,rehabilitation of lakes
177,OR,AUTHKEY,rehabilitation of the lake
178,OR,AUTHKEY,rehabilitation of the lakes
179,OR,AUTHKEY,lake rehabilitation
180,OR,AUTHKEY,lakes rehabilitation
181,OR,AUTHKEY,rehabilitate lake
182,OR,AUTHKEY,rehabilitate lakes
183,OR,AUTHKEY,rehabilitate the lake
184,OR,AUTHKEY,rehabilitate the lakes
185,OR,TITLE-ABS,rehabilitation of river
186,OR,TITLE-ABS,rehabilitation of rivers
