no,kepuasan,provider,sinyal,tarif_sms,tarif_data,usia
1,3,1,3,3,1,19
2,2,1,3,2,2,18
3,2,5,2,3,2,18
4,2,3,2,3,3,19
5,2,2,2,1,2,17
6,3,2,2,1,2,18
7,1,1,2,2,2,20
8,1,2,1,2,2,18
9,2,5,3,2,2,19
10,2,2,2,1,2,19
11,2,1,1,3,2,19
12,3,4,2,1,1,18
13,3,2,1,1,1,18
14,2,3,2,3,3,19
15,3,1,2,1,1,19
16,2,3,2,2,2,19
17,2,4,2,1,1,18
18,2,2,1,1,1,20
19,1,3,2,3,3,17
20,2,2,1,1,1,19
21,2,3,3,2,2,19
22,2,2,3,1,2,19
23,2,4,2,2,2,19
24,2,2,1,1,2,19
25,2,5,2,1,3,18
26,2,5,1,2,1,18
27,2,5,2,2,2,18
28,3,4,2,3,2,18
29,3,2,1,1,1,20
30,2,1,2,2,2,19
31,1,4,2,2,2,19
32,2,2,2,1,1,19
33,1,3,1,2,2,19
34,3,1,2,2,2,20
35,2,2,3,1,1,19
36,1,2,1,1,3,20
37,2,1,1,2,1,20
38,1,2,1,2,2,19
39,3,1,2,1,2,19
40,2,2,2,2,1,18
41,2,5,2,3,2,19
42,2,3,2,3,2,19
43,2,1,2,1,2,17
44,2,5,2,3,3,18
45,2,1,2,2,1,18
46,2,2,1,1,1,19
47,2,3,3,3,3,19
48,2,2,1,1,1,17
49,2,2,2,2,2,17
50,2,3,2,3,2,20
51,2,3,2,3,2,20
52,1,2,1,2,2,19
53,2,2,2,1,3,18
54,2,1,3,1,3,19
55,1,2,1,1,3,19
56,2,3,3,3,3,19
57,2,2,1,1,1,18
58,1,2,1,3,3,18
59,1,1,1,3,3,19
60,2,2,2,1,2,17
61,1,2,1,1,3,19
62,2,1,2,2,1,18
63,1,4,2,2,3,19
64,2,2,1,1,1,18
65,3,1,3,1,1,18
66,1,2,1,3,3,19
