month,avg_rating,review_count
2005-03,1.0,1
2005-06,5.0,1
2005-09,5.0,1
2006-06,5.0,1
2006-07,4.0,1
2006-12,5.0,1
2007-01,2.0,1
2007-04,4.0,1
2007-06,5.0,1
2007-11,5.0,1
2007-12,5.0,2
2008-01,3.0,2
2008-04,4.0,1
2008-06,1.0,1
2008-07,3.0,1
2008-08,3.0,1
2008-09,5.0,1
2008-10,5.0,1
2008-11,3.0,1
2008-12,5.0,1
2009-01,4.25,4
2009-02,4.545,11
2009-03,4.0,1
2009-04,3.5,2
2009-05,3.5,2
2009-06,4.333,3
2009-07,5.0,2
2009-08,2.0,1
2009-10,4.0,2
2009-11,3.0,2
2009-12,5.0,3
2010-02,4.5,2
2010-03,5.0,1
2010-04,4.5,2
2010-05,4.75,4
2010-06,5.0,2
2010-07,5.0,4
2010-08,2.4,5
2010-09,3.75,4
2010-10,4.0,2
2010-11,4.333,3
2010-12,4.0,1
2011-01,5.0,5
2011-02,5.0,1
2011-03,3.667,3
2011-04,4.625,8
2011-05,4.0,8
2011-06,4.143,7
2011-07,5.0,7
2011-08,3.222,9
2011-09,3.0,4
2011-10,4.5,2
2011-11,5.0,3
2011-12,4.571,7
2012-01,3.667,3
2012-02,3.444,9
2012-03,3.667,6
2012-04,4.636,11
2012-05,4.529,17
2012-06,3.727,11
2012-07,3.714,7
2012-08,4.0,8
2012-09,3.909,11
2012-10,3.333,15
2012-11,4.118,17
2012-12,4.154,26
2013-01,4.267,30
2013-02,4.357,28
2013-03,4.059,34
2013-04,4.529,34
2013-05,4.219,32
2013-06,4.043,23
2013-07,4.222,18
2013-08,4.227,22
2013-09,4.783,23
2013-10,4.476,21
2013-11,3.913,23
2013-12,4.192,52
2014-01,4.639,36
2014-02,4.417,24
2014-03,4.216,37
2014-04,4.098,61
2014-05,4.19,42
2014-06,4.192,26
2014-07,4.413,46
2014-08,4.412,51
2014-09,4.227,44
2014-10,4.255,47
2014-11,3.939,49
2014-12,4.374,91
2015-01,4.58,69
2015-02,4.416,89
2015-03,4.314,86
2015-04,4.278,90
2015-05,4.24,96
2015-06,4.318,107
2015-07,4.267,75
2015-08,4.328,119
2015-09,4.014,73
2015-10,4.171,82
2015-11,4.301,93
2015-12,4.099,101
2016-01,4.016,122
2016-02,4.125,112
2016-03,4.21,81
2016-04,4.236,72
2016-05,4.034,87
2016-06,4.349,106
2016-07,4.213,122
2016-08,4.389,95
2016-09,4.384,99
2016-10,4.129,85
2016-11,4.131,99
2016-12,4.439,157
2017-01,4.28,164
2017-02,4.076,131
2017-03,4.272,158
2017-04,4.243,136
2017-05,4.331,139
2017-06,4.098,133
2017-07,4.242,149
2017-08,4.261,176
2017-09,4.425,200
2017-10,4.248,129
2017-11,4.133,173
2017-12,4.124,137
2018-01,4.196,179
2018-02,4.456,169
2018-03,3.924,157
2018-04,4.181,188
2018-05,4.266,169
2018-06,4.104,173
2018-07,4.162,185
2018-08,4.075,146
2018-09,4.123,163
2018-10,4.263,213
2018-11,4.277,202
2018-12,4.299,211
2019-01,4.098,234
2019-02,4.276,214
2019-03,4.169,296
2019-04,4.24,242
2019-05,4.015,270
2019-06,4.05,259
2019-07,4.372,312
2019-08,4.27,278
2019-09,4.254,205
2019-10,4.195,220
2019-11,4.256,266
2019-12,4.262,413
2020-01,4.248,456
2020-02,4.255,505
2020-03,4.164,335
2020-04,4.372,296
2020-05,4.195,241
2020-06,4.328,363
2020-07,4.274,452
2020-08,4.301,342
2020-09,4.294,326
2020-10,4.285,330
2020-11,4.258,326
2020-12,4.301,389
2021-01,4.196,332
2021-02,4.192,375
2021-03,4.249,494
2021-04,4.202,570
2021-05,4.154,545
2021-06,4.142,465
2021-07,4.072,514
2021-08,4.31,449
2021-09,4.279,369
2021-10,4.194,376
2021-11,4.05,301
2021-12,4.062,341
2022-01,4.207,426
2022-02,4.189,360
2022-03,4.011,356
2022-04,4.053,361
2022-05,4.122,337
2022-06,4.147,348
2022-07,3.937,347
2022-08,3.991,345
2022-09,4.079,291
2022-10,3.928,320
2022-11,4.205,283
2022-12,4.281,310
2023-01,4.267,311
2023-02,4.089,248
2023-03,4.151,139
