month,avg_rating,review_count
2000-04,4.4,5
2000-06,5.0,1
2000-08,5.0,1
2000-09,5.0,1
2000-11,4.4,5
2000-12,4.333,3
2001-01,4.5,2
2001-02,4.5,2
2001-03,4.5,2
2001-04,4.4,5
2001-05,5.0,2
2001-06,3.4,5
2001-07,3.75,4
2001-08,4.5,6
2001-09,4.111,9
2001-10,3.875,8
2001-11,3.75,4
2001-12,4.667,3
2002-01,3.818,11
2002-02,4.167,6
2002-03,4.4,5
2002-04,4.286,7
2002-05,3.75,4
2002-06,4.0,16
2002-07,3.125,8
2002-08,4.0,13
2002-09,2.667,9
2002-10,3.833,12
2002-11,2.95,20
2002-12,4.364,22
2003-01,3.852,27
2003-02,3.526,19
2003-03,3.947,19
2003-04,4.174,23
2003-05,4.13,23
2003-06,3.484,31
2003-07,4.212,33
2003-08,4.391,23
2003-09,3.435,23
2003-10,4.125,24
2003-11,3.966,29
2003-12,4.0,48
2004-01,4.384,86
2004-02,4.232,56
2004-03,3.981,54
2004-04,3.706,51
2004-05,4.583,72
2004-06,4.224,67
2004-07,4.092,76
2004-08,4.043,92
2004-09,3.905,74
2004-10,4.028,72
2004-11,4.124,97
2004-12,3.97,101
2005-01,3.976,166
2005-02,4.24,125
2005-03,4.014,140
2005-04,3.981,108
2005-05,4.026,114
2005-06,4.007,152
2005-07,4.158,215
2005-08,4.183,371
2005-09,4.16,349
2005-10,4.038,291
2005-11,3.947,150
2005-12,3.988,246
2006-01,4.179,235
2006-02,4.207,304
2006-03,4.073,427
2006-04,4.074,189
2006-05,3.793,213
2006-06,3.953,213
2006-07,4.212,330
2006-08,4.135,386
2006-09,4.188,170
2006-10,3.904,198
2006-11,4.204,496
2006-12,4.099,334
2007-01,4.266,1338
2007-02,4.147,563
2007-03,4.319,828
2007-04,4.065,448
2007-05,4.242,943
2007-06,4.115,661
2007-07,4.289,688
2007-08,4.152,718
2007-09,4.2,741
2007-10,4.2,730
2007-11,4.174,794
2007-12,4.269,1056
2008-01,4.22,1347
2008-02,4.187,1135
2008-03,4.131,1057
2008-04,4.208,1180
2008-05,4.155,1155
2008-06,4.109,1073
2008-07,4.178,1269
2008-08,4.194,1171
2008-09,4.182,1154
2008-10,4.165,1144
2008-11,4.15,1253
2008-12,4.152,1522
2009-01,4.181,2129
2009-02,4.121,1682
2009-03,4.185,1735
2009-04,4.185,1766
2009-05,4.128,1821
2009-06,4.152,1791
2009-07,4.048,1497
2009-08,4.142,1631
2009-09,4.187,2037
2009-10,4.165,1828
2009-11,4.15,1839
2009-12,4.129,2253
2010-01,4.158,2533
2010-02,4.185,2832
2010-03,4.178,2745
2010-04,4.116,2672
2010-05,4.115,2939
2010-06,4.144,2990
2010-07,4.128,3582
2010-08,4.091,3726
2010-09,4.062,4162
2010-10,4.088,3962
2010-11,4.047,4155
2010-12,4.06,4990
2011-01,4.159,6273
2011-02,4.09,5638
2011-03,4.093,6578
2011-04,4.09,6438
2011-05,4.047,6428
2011-06,4.057,6623
2011-07,4.094,7383
2011-08,4.079,8037
2011-09,4.135,8309
2011-10,4.092,8530
2011-11,4.089,8238
2011-12,4.139,10819
2012-01,4.106,12740
2012-02,4.095,10624
2012-03,4.061,10813
2012-04,4.061,10647
2012-05,4.047,10910
2012-06,4.065,11545
2012-07,4.099,12953
