date,usd_idr,idr_usd
2022-01-03,14269.0,7.0081996e-05
2022-01-04,14363.0,6.9623338e-05
2022-01-05,14368.0,6.9599109e-05
2022-01-06,14399.0,6.9449267e-05
2022-01-07,14328.0,6.9793412e-05
2022-01-10,14298.0,6.9939852e-05
2022-01-11,14309.0,6.9886086e-05
2022-01-12,14332.0,6.9773932e-05
2022-01-13,14289.0,6.9983904e-05
2022-01-14,14317.0,6.9847035e-05
2022-01-17,14328.0,6.9793412e-05
2022-01-18,14356.0,6.9657286e-05
2022-01-19,14353.0,6.9671846e-05
2022-01-20,14348.0,6.9696125e-05
2022-01-21,14314.0,6.9861674e-05
2022-01-24,14344.0,6.9715561e-05
2022-01-25,14350.0,6.9686411e-05
2022-01-26,14352.0,6.96767e-05
2022-01-27,14384.0,6.9521691e-05
2022-01-28,14408.0,6.9405886e-05
2022-01-31,14375.0,6.9565217e-05
2022-02-01,14321.0,6.9827526e-05
2022-02-02,14346.0,6.9705841e-05
2022-02-03,14392.0,6.9483046e-05
2022-02-04,14387.0,6.9507194e-05
2022-02-07,14396.0,6.946374e-05
2022-02-08,14392.0,6.9483046e-05
2022-02-09,14334.0,6.9764197e-05
2022-02-10,14328.0,6.9793412e-05
2022-02-11,14311.0,6.9876319e-05
2022-02-14,14308.0,6.989097e-05
2022-02-15,14269.0,7.0081996e-05
2022-02-16,14275.0,7.0052539e-05
2022-02-17,14329.0,6.9788541e-05
2022-02-18,14360.0,6.9637883e-05
2022-02-21,14355.0,6.9662139e-05
2022-02-22,14366.0,6.9608799e-05
2022-02-23,14342.0,6.9725282e-05
2022-02-24,14399.0,6.9449267e-05
2022-02-25,14345.0,6.9710701e-05
2022-02-28,14377.0,6.955554e-05
2022-03-01,14364.0,6.9618491e-05
2022-03-02,14389.0,6.9497533e-05
2022-03-03,14386.0,6.9512026e-05
2022-03-04,14388.0,6.9502363e-05
2022-03-07,14397.0,6.9458915e-05
2022-03-08,14359.0,6.9642733e-05
2022-03-09,14291.0,6.997411e-05
2022-03-10,14277.0,7.0042726e-05
2022-03-11,14283.0,7.0013303e-05
2022-03-14,14306.0,6.9900741e-05
2022-03-15,14294.0,6.9959424e-05
2022-03-16,14271.0,7.0072174e-05
2022-03-17,14330.0,6.9783671e-05
2022-03-18,14337.0,6.9749599e-05
2022-03-21,14339.0,6.973987e-05
2022-03-22,14340.0,6.9735007e-05
2022-03-23,14376.0,6.9560378e-05
2022-03-24,14372.0,6.9579738e-05
2022-03-25,14341.0,6.9730144e-05
2022-03-28,14352.0,6.96767e-05
2022-03-29,14340.0,6.9735007e-05
2022-03-30,14342.0,6.9725282e-05
2022-03-31,14365.0,6.9613644e-05
2022-04-01,14376.0,6.9560378e-05
2022-04-04,14343.0,6.9720421e-05
2022-04-05,14343.0,6.9720421e-05
2022-04-06,14358.0,6.9647583e-05
2022-04-07,14375.0,6.9565217e-05
2022-04-08,14365.0,6.9613644e-05
2022-04-11,14365.0,6.9613644e-05
2022-04-12,14373.0,6.9574897e-05
2022-04-13,14363.0,6.9623338e-05
2022-04-14,14360.0,6.9637883e-05
