ridge_alpha,rf_max_depth,rf_min_samples_leaf,rf_max_features,ridge_weight,cv_rmse,cv_r2
100.0,5,2,1.0,0.75,1.139173977989431,0.23266877338267422
100.0,None,2,1.0,0.75,1.1399285355555886,0.23165191845204447
100.0,None,2,0.6,0.75,1.1406673182329012,0.23065566969028717
100.0,5,2,0.8,0.75,1.1412105918175732,0.2299226531850972
100.0,None,2,0.8,0.75,1.1414873459380417,0.2295491061423761
100.0,5,2,0.6,0.75,1.1421379290760616,0.22867062912398628
100.0,3,2,0.8,0.75,1.1423918078605648,0.22832768293085914
100.0,3,2,1.0,0.75,1.1427488228245284,0.2278452886921437
100.0,5,2,1.0,0.5,1.1432615829876607,0.22715218974287799
100.0,None,2,0.6,0.5,1.1436401489539838,0.2266402818432819
100.0,3,2,0.6,0.75,1.144160007742357,0.22593703751840777
100.0,None,2,1.0,0.5,1.144752344968276,0.2251353577004498
100.0,5,2,0.6,0.5,1.1463471697401606,0.22297483075734803
100.0,5,2,0.8,0.5,1.1467826527780745,0.2223843542183167
100.0,None,8,0.8,0.75,1.1469803250449289,0.22211625407759772
100.0,5,8,0.8,0.75,1.1470565804145818,0.2220128176312568
100.0,None,2,0.8,0.5,1.147246902248674,0.22175462595381668
100.0,3,8,0.8,0.75,1.1481634794170925,0.22051059227760061
100.0,3,2,0.8,0.5,1.1483358587065553,0.22027651774152757
100.0,None,8,0.6,0.75,1.1491555327065681,0.21916299827753127
100.0,5,8,0.6,0.75,1.1493082697945913,0.2189554185509872
100.0,None,8,1.0,0.75,1.149554320967439,0.218620960840051
100.0,5,8,1.0,0.75,1.149757271604828,0.21834503586686993
100.0,3,2,1.0,0.5,1.149896280437358,0.21815601594909884
100.0,3,8,1.0,0.75,1.1502609071282095,0.21766009925040608
100.0,3,8,0.6,0.75,1.1504414442116373,0.21741449853982941
100.0,3,2,0.6,0.5,1.1509953818796934,0.21666068711218156
100.0,None,2,0.6,0.25,1.1576232704951108,0.20761315440089623
100.0,None,8,0.8,0.5,1.160845473650586,0.2031958541033807
100.0,5,2,1.0,0.25,1.1609083267721032,0.20310956702252336
100.0,5,8,0.8,0.5,1.1609913484838656,0.20299558459690614
100.0,5,2,0.6,0.25,1.161299880202615,0.20257192284199776
100.0,None,2,1.0,0.25,1.1630914209797165,0.20010963568712836
100.0,3,8,0.8,0.5,1.1633211949839157,0.19979356050458497
100.0,None,8,0.6,0.5,1.164183927663441,0.19860623538780908
100.0,5,8,0.6,0.5,1.1644737784435024,0.19820713432030923
100.0,5,2,0.8,0.25,1.1653177985663599,0.19704442104157172
100.0,None,2,0.8,0.25,1.1658753533267416,0.1962758773762343
100.0,3,2,0.8,0.25,1.1664337372180291,0.19550582237391745
100.0,3,8,0.6,0.5,1.1669094729572544,0.1948494547320172
10.0,None,2,0.6,0.25,1.167172226810137,0.19448682124419658
100.0,3,2,0.6,0.25,1.16909528932479,0.19183026672323367
100.0,None,8,1.0,0.5,1.169482584663217,0.19129472061633412
100.0,5,8,1.0,0.5,1.1698445966964097,0.19079397548646104
100.0,3,2,1.0,0.25,1.1699909440836367,0.19059149971277778
100.0,3,8,1.0,0.5,1.1710157502251852,0.18917294158806264
10.0,5,2,0.6,0.25,1.1712497866287495,0.18884880929279513
10.0,5,2,1.0,0.25,1.1730120924146132,0.1864059966843271
10.0,None,2,1.0,0.25,1.1752400865163168,0.183312415403047
10.0,5,2,0.8,0.25,1.176546646530293,0.18149551944214815
10.0,3,2,0.8,0.25,1.1773196717850372,0.18041960376014277
10.0,None,2,0.8,0.25,1.1775650593760139,0.1800779194700518
10.0,3,2,0.6,0.25,1.178073791930036,0.17936931971450898
10.0,3,2,1.0,0.25,1.181390774197239,0.1747416818083617
10.0,None,2,0.6,0.5,1.1833551668554565,0.1719949544611653
10.0,5,2,1.0,0.5,1.1863937715933204,0.1677372127854324
10.0,5,2,0.6,0.5,1.1865387483042793,0.16753379618522757
10.0,None,2,1.0,0.5,1.187919290582719,0.16559551414849116
1000.0,None,2,0.6,0.25,1.1886295313255688,0.16459745775074464
10.0,5,2,0.8,0.5,1.1886925053259387,0.16450893557923518
10.0,3,2,0.8,0.5,1.1897526378022025,0.1630180097499777
10.0,None,2,0.8,0.5,1.1897556306125716,0.1630137989057231
10.0,3,2,0.6,0.5,1.1898347030099934,0.16290254126069814
100.0,None,8,0.8,0.25,1.189837846562249,0.16289811801926124
100.0,5,8,0.8,0.25,1.1900442831647968,0.16260761883886055
1000.0,5,2,1.0,0.25,1.1915855912307622,0.16043708539965973
10.0,3,2,1.0,0.5,1.1919813022953334,0.15987937557002707
1000.0,5,2,0.6,0.25,1.1922770888683216,0.15946237702863186
100.0,None,8,0.6,0.25,1.1933215808768907,0.1579890292727456
100.0,3,8,0.8,0.25,1.1936622385927127,0.15750822262286623
100.0,5,8,0.6,0.25,1.1937286555746205,0.15741446524987823
1000.0,None,2,1.0,0.25,1.193743447391451,0.1573935837069007
1000.0,5,2,0.8,0.25,1.1959035872770551,0.15434134571232572
1000.0,None,2,0.8,0.25,1.1959853064101125,0.1542257697512912
100.0,3,8,0.6,0.25,1.1975832591933222,0.15196418651847576
1000.0,3,2,0.8,0.25,1.1981583528570428,0.15114951727713521
10.0,None,8,0.8,0.25,1.198542290119186,0.1506054196693376
10.0,5,8,0.8,0.25,1.1987466228407537,0.1503157779899882
10.0,None,8,0.8,0.5,1.1992076857583467,0.14966203979696557
10.0,5,8,0.8,0.5,1.199348088556201,0.1494629136252259
10.0,None,8,0.6,0.25,1.2007231735578971,0.14751146805482618
10.0,None,8,0.6,0.5,1.2007364584718874,0.14749260392406616
10.0,5,8,0.6,0.5,1.201134674647657,0.14692705346345392
10.0,5,8,0.6,0.25,1.2012156229361786,0.14681206698712446
10.0,3,8,0.8,0.5,1.2012494583157995,0.14676400177115367
1000.0,3,2,0.6,0.25,1.2012654619804588,0.1467412671199032
10.0,3,8,0.8,0.25,1.2020729839835804,0.14559371595268056
1000.0,3,2,1.0,0.25,1.2021199872031334,0.14552689699600674
10.0,3,8,0.6,0.5,1.2032330612410909,0.14394380685942
1000.0,5,2,1.0,0.5,1.2043805599170743,0.14231022182812014
10.0,3,8,0.6,0.25,1.2048492017953525,0.14164261299391578
1000.0,None,2,0.6,0.5,1.205061080327542,0.14134069389213988
1000.0,None,2,1.0,0.5,1.2058365005446132,0.14023529597587303
1.0,None,2,0.6,0.25,1.2061663005390935,0.13976493507625487
1000.0,None,2,0.8,0.5,1.2075833393526618,0.13774249003628636
100.0,None,8,1.0,0.25,1.2076266786860042,0.13768059727076154
1000.0,5,2,0.6,0.5,1.2077180446214772,0.13755011058858724
1000.0,5,2,0.8,0.5,1.2077520133753696,0.1375015946950493
100.0,5,8,1.0,0.25,1.2080988571230684,0.1370061368006853
10.0,None,8,1.0,0.5,1.2094919303210256,0.13501473227751581
10.0,5,8,1.0,0.5,1.2099460048709192,0.13436513468392874
100.0,3,8,1.0,0.25,1.2100629143029582,0.13419784495488207
1.0,5,2,0.6,0.25,1.21014033153567,0.13408705707719182
10.0,3,8,1.0,0.5,1.2107484063540492,0.13321662555712632
1000.0,3,2,0.8,0.5,1.2107673847122735,0.13318945186154474
1000.0,3,2,1.0,0.5,1.2129060324341534,0.13012455324246452
1000.0,3,2,0.6,0.5,1.2139707453230062,0.12859669522346795
1.0,3,2,0.6,0.25,1.2166238278946042,0.12478370184504384
10.0,None,8,1.0,0.25,1.2176349947796987,0.12332826839653555
10.0,5,8,1.0,0.25,1.218180790963178,0.12254216857867406
1.0,5,2,1.0,0.25,1.2184311186926995,0.12218150849142528
10.0,3,8,1.0,0.25,1.2198829836949758,0.12008827031156766
1.0,5,2,0.8,0.25,1.2200382042979965,0.11986433224453907
1.0,3,2,0.8,0.25,1.2201126295849858,0.11975694815214977
1.0,None,2,1.0,0.25,1.2204886350362867,0.11921433073002541
1.0,None,2,0.8,0.25,1.2212262035903227,0.11814945213997241
1000.0,None,8,0.8,0.25,1.2240345033588806,0.11408902806750143
1000.0,5,8,0.8,0.25,1.224267646233089,0.11375151552188245
1.0,3,2,1.0,0.25,1.2260573928994773,0.11115842295293465
1000.0,None,8,0.8,0.5,1.2267377122490344,0.11017174175009481
1000.0,5,8,0.8,0.5,1.2269189560731688,0.10990878775666235
1000.0,None,8,0.6,0.25,1.2279695230238323,0.10838382842239447
1000.0,5,8,0.6,0.25,1.228337899400426,0.1078487995083175
1000.0,3,8,0.8,0.25,1.2284231669927979,0.1077249342017641
1000.0,5,2,1.0,0.75,1.2294997258480878,0.1061603145069916
10.0,None,2,0.6,0.75,1.229542110226922,0.10609868701403646
1000.0,3,8,0.8,0.5,1.2299740516529216,0.10547051685884246
1000.0,None,2,1.0,0.75,1.2302288309414702,0.10509988921899749
10.0,5,2,1.0,0.75,1.2306173561273486,0.10453455352492691
1000.0,None,8,0.6,0.5,1.2306269153453664,0.1045206418364012
1000.0,5,8,0.6,0.5,1.2308649066914419,0.10417425424728854
1000.0,None,2,0.6,0.75,1.2311192480439825,0.10380399578731658
1000.0,None,2,0.8,0.75,1.231216073751114,0.10366302126461391
10.0,5,2,0.6,0.75,1.2313164496769033,0.10351686605523247
10.0,None,2,1.0,0.75,1.2313801902189545,0.10342404864841215
1000.0,5,2,0.8,0.75,1.2314079660922677,0.10338360060303198
10.0,5,2,0.8,0.75,1.2317104180667804,0.10294310206612256
10.0,3,2,0.6,0.75,1.2323265339671488,0.10204544099013202
10.0,None,2,0.8,0.75,1.2324122645432618,0.10192049871664266
10.0,3,2,0.8,0.75,1.2324875205088426,0.10181081479753351
1000.0,5,2,0.6,0.75,1.2325463235060026,0.10172510605780127
1000.0,3,8,0.6,0.25,1.2331304794157882,0.10087344324497449
10.0,3,2,1.0,0.75,1.233342095072966,0.10056482126817656
1000.0,3,2,0.8,0.75,1.2336364794946322,0.1001354005812578
1000.0,3,2,1.0,0.75,1.2344523774268024,0.09894470872255379
1000.0,3,8,0.6,0.5,1.2345630490394672,0.09878313794974225
10.0,None,8,0.8,0.75,1.2348303063271164,0.09839290620812324
10.0,5,8,0.8,0.75,1.2349005497783159,0.09829032726283338
10.0,None,8,0.6,0.75,1.2356094373927546,0.09725478754006078
10.0,3,8,0.8,0.75,1.235670584638027,0.09716543608786365
