variant,model,pca_variance,orientation_corr,mae,rmse,r2
log1p_gt,RandomForest,0.24875802159596355,0.49652552269975025,1.0844568938635264,1.5567591003756798,0.5862508400194706
sqrt_gt,RandomForest,0.24237141463126308,0.4942223329810157,1.0476760617188159,1.7286899049009143,0.5601707662876382
log1p_gt,ExtraTrees,0.24875802159596355,0.49652552269975025,1.1153463232306693,1.6360751492131047,0.5430162103118272
log1p_gt,Ridge,0.24875802159596355,0.49652552269975025,1.204930170547725,1.6509938205022272,0.5346441324183109
raw_with_mean,RandomForest,0.23368431192121483,0.47887528599385626,0.9460407870012689,1.8747116293746844,0.4916624069019443
sqrt_gt,ExtraTrees,0.24237141463126308,0.4942223329810157,1.1507990764590394,1.8861812551440544,0.4763793696146108
raw_with_mean,ExtraTrees,0.23368431192121483,0.47887528599385626,1.006986318983184,1.948284846009574,0.4509799734313845
log1p_gt,GradientBoosting,0.24875802159596355,0.49652552269975025,1.291837433842078,1.8017499611417516,0.44577853569520887
sqrt_gt,Ridge,0.24237141463126308,0.4942223329810157,1.2801066812804127,1.9499437511671582,0.4403789170364749
sqrt_gt,GradientBoosting,0.24237141463126308,0.4942223329810157,1.33568437938248,2.030360043013354,0.3932692359993757
raw_with_mean,Ridge,0.23368431192121483,0.47887528599385626,1.2847062274683438,2.17609532110283,0.3150811612097264
log1p_gt_without_mean,GradientBoosting,0.19058926603448031,0.7236632052990516,0.8926949019090487,1.2575380699619423,0.26248108296978745
log1p_gt_without_mean,ExtraTrees,0.19058926603448031,0.7236632052990516,0.9077920081029263,1.279518776091351,0.23647333670206505
raw_with_mean,GradientBoosting,0.23368431192121483,0.47887528599385626,1.3179788828611247,2.302101096912875,0.23346486690580537
log1p_gt_without_mean,RandomForest,0.19058926603448031,0.7236632052990516,0.9438021316911902,1.3370328230942214,0.16628998368545533
log1p_gt_without_mean,Ridge,0.19058926603448031,0.7236632052990516,1.0497507299366544,1.4460591235672726,0.024779142832587087
raw_without_mean,GradientBoosting,0.1874373310318585,0.6777906845139388,1.0107799622203573,1.3967941550498826,-0.046289406502965535
raw_without_mean,ExtraTrees,0.1874373310318585,0.6777906845139388,1.0094510552063365,1.4199804072141782,-0.0813137218856661
raw_without_mean,RandomForest,0.1874373310318585,0.6777906845139388,1.0431341719781881,1.4727999589660903,-0.1632539526242136
raw_without_mean,Ridge,0.1874373310318585,0.6777906845139388,1.2335918071367973,1.6358391790331968,-0.43505392592707515
