feature,importance,model
esi_roll_mean_2,0.105580434,XGBoost
gt_mean_score_roll_mean_4,0.10133266,XGBoost
gt_mean_score,0.09795582,XGBoost
esi_current,0.04572272,XGBoost
gt_harga_naik,0.03481076,XGBoost
gt_harga_naik_diff_1,0.03385024,XGBoost
gt_mean_score_roll_mean_8,0.028331194,XGBoost
gt_harga_naik_lag_1,0.027768862,XGBoost
esi_roll_mean_4,0.026525514,XGBoost
esi_lag_3,0.02581182,XGBoost
esi_diff_4,0.020281015,XGBoost
gt_mean_score_lag_3,0.017878087,XGBoost
gt_mean_score_diff_4,0.01733363,XGBoost
gt_harga_beras_diff_1,0.016046537,XGBoost
usd_idr_return_lag_4,0.015266977,XGBoost
esi_lag_2,0.014538247,XGBoost
esi_diff_1,0.014222621,XGBoost
gt_mean_score_lag_8,0.011772541,XGBoost
gt_phk,0.011535045,XGBoost
x_negative_sentiment_mean_diff_2,0.010773821,XGBoost
gt_mean_score_lag_2,0.010583391,XGBoost
gt_harga_bbm_diff_1,0.010337618,XGBoost
x_negative_sentiment_mean_lag_1,0.009975323,XGBoost
usd_idr_return_lag_3,0.009487531,XGBoost
usd_idr_return_diff_4,0.0094139865,XGBoost
esi_lag_8,0.009282764,XGBoost
esi_momentum_squared,0.009212838,XGBoost
esi_lag_4,0.009138493,XGBoost
usd_idr_return_diff_2,0.00912126,XGBoost
usd_idr_return_lag_8,0.008909387,XGBoost
x_negative_sentiment_mean_roll_mean_4,0.008876039,XGBoost
x_negative_sentiment_mean,0.008639499,XGBoost
x_negative_sentiment_mean_diff_1,0.0082039675,XGBoost
esi_roll_mean_8,0.008161569,XGBoost
gt_harga_bbm_lag_1,0.008033891,XGBoost
x_negative_sentiment_mean_roll_mean_2,0.007926798,XGBoost
esi_diff_2,0.007892736,XGBoost
esi_momentum,0.007850761,XGBoost
usd_idr_return_lag_1,0.0076434626,XGBoost
x_negative_sentiment_mean_roll_mean_8,0.0075908834,XGBoost
usd_idr_return_lag_2,0.007460162,XGBoost
x_negative_sentiment_mean_lag_2,0.007434205,XGBoost
usd_idr_return_roll_mean_8,0.007402966,XGBoost
esi_squared,0.0073057157,XGBoost
x_negative_sentiment_mean_lag_4,0.0072852955,XGBoost
usd_idr_return,0.007120997,XGBoost
usd_idr_return_roll_mean_4,0.0069207284,XGBoost
usd_idr_volatility_4w,0.0065492447,XGBoost
gt_mean_score_diff_2,0.006314643,XGBoost
gt_harga_beras_lag_1,0.0061508757,XGBoost
x_negative_sentiment_mean_lag_3,0.006129522,XGBoost
usd_idr_return_roll_mean_2,0.0060768942,XGBoost
gt_harga_beras_lag_2,0.0059296684,XGBoost
gt_biaya_hidup_lag_1,0.0057889614,XGBoost
gt_mean_score_diff_1,0.005470613,XGBoost
gt_harga_beras_lag_4,0.0053507737,XGBoost
x_negative_sentiment_mean_lag_8,0.0053311745,XGBoost
esi_lag_1,0.005177625,XGBoost
x_negative_sentiment_mean_diff_4,0.0049128984,XGBoost
usd_idr_return_diff_1,0.004875625,XGBoost
gt_harga_naik_lag_2,0.0048218933,XGBoost
x_negative_tweet_ratio,0.0047610025,XGBoost
x_tweet_volume_log1p,0.0042952136,XGBoost
gt_mean_score_lag_4,0.0041885753,XGBoost
esi_level_momentum,0.003323959,XGBoost
rupiah_depreciation_dummy,0.0,XGBoost
gt_biaya_hidup,0.0,XGBoost
gt_harga_beras,0.0,XGBoost
gt_harga_bbm,0.0,XGBoost
gt_mean_score_lag_1,0.0,XGBoost
gt_mean_score_roll_mean_2,0.0,XGBoost
gt_biaya_hidup_lag_2,0.0,XGBoost
gt_harga_naik_lag_4,0.0,XGBoost
gt_biaya_hidup_diff_1,0.0,XGBoost
gt_biaya_hidup_lag_4,0.0,XGBoost
gt_harga_bbm_lag_4,0.0,XGBoost
gt_harga_bbm_lag_2,0.0,XGBoost
gt_phk_diff_1,0.0,XGBoost
gt_phk_lag_4,0.0,XGBoost
gt_phk_lag_2,0.0,XGBoost
gt_phk_lag_1,0.0,XGBoost
